"","sku","unitcost","quantity","date","PO.no"
"59","1050",7.39,3470,"2016-01-05",11704
"60","1051",3.93,2887,"2016-01-05",15200
"61","1052",6.43,2533,"2016-01-05",5243
"62","1053",7.12,2440,"2016-01-05",11270
"63","1054",10.69,3131,"2016-01-05",18725
"64","1055",4.99,2652,"2016-01-05",10661
"65","1056",3.09,2251,"2016-01-05",23192
"66","1057",2.45,3211,"2016-01-05",7357
"67","1058",4.79,2176,"2016-01-05",19562
"68","1059",6.3,3569,"2016-01-05",19956
"69","106",7.72,3273,"2016-01-05",23672
"70","1060",4.19,3848,"2016-01-05",8998
"71","1061",8.08,3285,"2016-01-05",7113
"72","1062",6.22,2485,"2016-01-05",4058
"73","1063",5.28,3129,"2016-01-05",13176
"74","1064",7.17,3267,"2016-01-05",13380
"75","1065",6.4,3208,"2016-01-05",18535
"76","1066",4.53,2183,"2016-01-05",9054
"77","1067",5.86,3153,"2016-01-05",3190
"78","1068",7.76,2320,"2016-01-05",9342
"79","1069",6.35,3083,"2016-01-05",8215
"80","107",2.21,2261,"2016-01-05",21497
"81","1070",9.72,2151,"2016-01-05",10766
"82","1071",6.03,2447,"2016-01-05",18792
"83","1072",12.35,2165,"2016-01-05",13545
"84","1073",4.72,3482,"2016-01-05",8260
"85","1074",12.88,2683,"2016-01-05",20789
"86","1075",2.26,3049,"2016-01-05",15336
"87","1076",4.46,3760,"2016-01-05",14585
"88","1077",12.76,3034,"2016-01-05",6415
"89","1078",6.45,3100,"2016-01-05",12346
"90","1079",8.08,2784,"2016-01-05",23287
"91","108",5.49,3155,"2016-01-05",10254
"92","1080",8.82,2310,"2016-01-05",20435
"93","1081",3.87,3404,"2016-01-05",10879
"94","1082",0.72,3136,"2016-01-05",15322
"95","1083",9.9,3892,"2016-01-05",3805
"96","1084",3.4,1553,"2016-01-05",11837
"97","1085",2.34,3188,"2016-01-05",18668
"98","1086",10.17,3524,"2016-01-05",16038
"99","1087",4.04,3262,"2016-01-05",10872
"100","1088",8.04,2707,"2016-01-05",17393
"101","1089",4.82,3473,"2016-01-05",1851
"102","109",2.63,2535,"2016-01-05",12794
"103","1090",7.7,2810,"2016-01-05",10777
"104","1091",4.99,2600,"2016-01-05",16695
"105","1092",8.4,2527,"2016-01-05",2052
"106","1093",7.12,2205,"2016-01-05",13288
"107","1094",5.1,2769,"2016-01-05",6179
"108","1095",1.19,1856,"2016-01-05",5261
"109","1096",6.44,2780,"2016-01-05",12372
"110","1097",3.03,2917,"2016-01-05",17669
"111","1098",2.7,2656,"2016-01-05",1004
"112","1099",10.7,2146,"2016-01-05",14973
"113","11",9.13,2738,"2016-01-05",7898
"114","110",5.36,2110,"2016-01-05",1669
"115","1100",8.85,2742,"2016-01-05",11514
"116","1101",9.27,3020,"2016-01-05",15575
"117","1102",6.49,2281,"2016-01-05",2333
"118","1103",9.67,2900,"2016-01-05",8231
"119","1104",5.09,3131,"2016-01-05",22578
"120","1105",3.97,2814,"2016-01-05",23093
"121","1106",3.29,2140,"2016-01-05",12033
"122","1107",11.23,2973,"2016-01-05",23508
"123","1108",6.87,2178,"2016-01-05",9162
"124","1109",7.88,1854,"2016-01-05",21789
"125","111",3.18,2178,"2016-01-05",12825
"126","1110",2.38,3269,"2016-01-05",14966
"127","1111",4.98,1840,"2016-01-05",5446
"128","1112",3.26,2236,"2016-01-05",6133
"129","1113",3.31,3141,"2016-01-05",6126
"130","1114",5.38,3570,"2016-01-05",9026
"131","1115",7.19,3199,"2016-01-05",15759
"132","1116",3.85,3535,"2016-01-05",11149
"133","1117",3.24,2770,"2016-01-05",7771
"134","1118",6.56,3418,"2016-01-05",17816
"135","1119",7.2,3193,"2016-01-05",2924
"136","112",8.32,3497,"2016-01-05",9774
"137","1120",7.83,3012,"2016-01-05",591
"138","1121",7.27,3487,"2016-01-05",1156
"139","1122",8.19,2010,"2016-01-05",1386
"140","1123",8.58,3353,"2016-01-05",22577
"141","1124",10.83,2060,"2016-01-05",6243
"142","1125",10.76,2868,"2016-01-05",16800
"143","1126",6.33,3264,"2016-01-05",12435
"144","1127",9.19,2819,"2016-01-05",22599
"145","1128",5.08,3816,"2016-01-05",14728
"146","1129",9.92,2803,"2016-01-05",21775
"147","113",3.09,2443,"2016-01-05",20706
"148","1130",5.62,3057,"2016-01-05",18345
"149","1131",7.79,2582,"2016-01-05",20239
"150","1132",10.15,2654,"2016-01-05",6401
"151","1133",8.99,2617,"2016-01-05",13499
"152","1134",2.27,2520,"2016-01-05",18011
"153","1135",6.51,2848,"2016-01-05",2480
"154","1136",11.2,2981,"2016-01-05",11994
"155","1137",3.72,3241,"2016-01-05",3542
"156","1138",5.79,2910,"2016-01-05",14070
"157","1139",5.33,2819,"2016-01-05",812
"158","114",6.48,3010,"2016-01-05",22623
"159","1140",9.27,2377,"2016-01-05",14363
"160","1141",3.31,2802,"2016-01-05",4666
"161","1142",6.46,2818,"2016-01-05",16732
"162","1143",7.42,2937,"2016-01-05",859
"163","1144",6.64,2328,"2016-01-05",6730
"164","1145",5.28,2600,"2016-01-05",6027
"165","1146",7.65,2452,"2016-01-05",17931
"166","1147",9.56,3028,"2016-01-05",22888
"167","1148",6.85,2936,"2016-01-05",19156
"168","1149",7.31,2746,"2016-01-05",23623
"169","115",4.74,2993,"2016-01-05",643
"170","1150",2.79,2830,"2016-01-05",16178
"171","1151",5.29,2296,"2016-01-05",3106
"172","1152",8,2589,"2016-01-05",14488
"173","1153",9.38,2322,"2016-01-05",10993
"174","1154",8.52,3287,"2016-01-05",16156
"175","1155",6.58,2446,"2016-01-05",17022
"176","1156",3.66,2718,"2016-01-05",20134
"177","1157",8.48,2145,"2016-01-05",12553
"178","1158",5.82,1804,"2016-01-05",3848
"179","1159",9.61,3841,"2016-01-05",1326
"180","116",9.92,3433,"2016-01-05",23212
"181","1160",0.22,1831,"2016-01-05",21147
"182","1161",8.34,2705,"2016-01-05",4363
"183","1162",2.37,3297,"2016-01-05",11337
"184","1163",7.57,1984,"2016-01-05",20662
"185","1164",5.35,3029,"2016-01-05",20134
"186","1165",3.71,2976,"2016-01-05",20673
"187","1166",10.25,1721,"2016-01-05",16506
"188","1167",0.93,2747,"2016-01-05",2375
"189","1168",7.77,2464,"2016-01-05",16343
"190","1169",5.87,3545,"2016-01-05",11544
"191","117",9.36,2589,"2016-01-05",7181
"192","1170",1.87,3160,"2016-01-05",11177
"193","1171",2.32,1927,"2016-01-05",1242
"194","1172",4.98,1976,"2016-01-05",2707
"195","1173",7.18,3579,"2016-01-05",5087
"196","1174",8.94,3619,"2016-01-05",2218
"197","1175",8.75,3496,"2016-01-05",4187
"198","1176",2.66,2980,"2016-01-05",1457
"199","1177",3.3,3709,"2016-01-05",13206
"200","1178",6.74,2462,"2016-01-05",23179
"201","1179",3.64,2459,"2016-01-05",6693
"202","118",6.39,3092,"2016-01-05",2391
"203","1180",3.9,2138,"2016-01-05",17961
"204","1181",6.46,2812,"2016-01-05",8677
"205","1182",9.28,2663,"2016-01-05",7257
"206","1183",8.69,2181,"2016-01-05",1660
"207","1184",6.36,2605,"2016-01-05",3035
"208","1185",8.37,1916,"2016-01-05",2991
"209","1186",9.84,2652,"2016-01-05",18420
"210","1187",10.75,2392,"2016-01-05",13640
"211","1188",7.05,1907,"2016-01-05",12539
"212","1189",2.46,3219,"2016-01-05",19276
"213","119",8.46,3570,"2016-01-05",2344
"214","1190",5.04,3031,"2016-01-05",10329
"215","1191",7.56,2902,"2016-01-05",11019
"216","1192",2.28,3045,"2016-01-05",2658
"217","1193",10.47,2923,"2016-01-05",12704
"218","1194",7.78,2906,"2016-01-05",12818
"219","1195",5.58,1979,"2016-01-05",10962
"220","1196",8.32,2754,"2016-01-05",7652
"221","1197",1.57,2469,"2016-01-05",20791
"222","1198",2.62,3081,"2016-01-05",15160
"223","1199",5.25,3068,"2016-01-05",13798
"224","12",5.95,2504,"2016-01-05",3803
"225","120",5.51,3703,"2016-01-05",19033
"226","1200",2.44,2826,"2016-01-05",13509
"227","1201",4.28,2970,"2016-01-05",23050
"228","1202",6.33,3441,"2016-01-05",4132
"229","1203",8.83,2666,"2016-01-05",2993
"230","1204",5.93,2044,"2016-01-05",11700
"231","1205",6.09,2426,"2016-01-05",23809
"232","1206",7.93,2077,"2016-01-05",16693
"233","1207",6.13,2772,"2016-01-05",2995
"234","1208",2.96,3286,"2016-01-05",18110
"235","1209",4.09,2933,"2016-01-05",13839
"236","121",5.51,2263,"2016-01-05",9456
"237","1210",5.06,2539,"2016-01-05",9533
"238","1211",1.33,1904,"2016-01-05",12396
"239","1212",8.19,2544,"2016-01-05",17673
"240","1213",7.55,1993,"2016-01-05",16939
"241","1214",9.38,2520,"2016-01-05",5519
"242","1215",3.89,2943,"2016-01-05",15188
"243","1216",3.53,2579,"2016-01-05",11879
"244","1217",5.54,3110,"2016-01-05",5508
"245","1218",3.51,2438,"2016-01-05",13776
"246","1219",8.72,1751,"2016-01-05",16209
"247","122",6.62,2751,"2016-01-05",6454
"248","1220",0.36,2597,"2016-01-05",9431
"249","1221",4.25,3052,"2016-01-05",3790
"250","1222",4.28,1861,"2016-01-05",6574
"251","1223",3.21,3616,"2016-01-05",14718
"252","1224",3.55,2996,"2016-01-05",4615
"253","1225",9.3,2781,"2016-01-05",12956
"254","1226",7.14,2821,"2016-01-05",17926
"255","1227",3.73,2821,"2016-01-05",23552
"256","1228",5.14,3033,"2016-01-05",940
"257","1229",9.29,3350,"2016-01-05",21728
"258","123",9.87,2399,"2016-01-05",21391
"259","1230",6.92,2165,"2016-01-05",3233
"260","1231",9.74,2612,"2016-01-05",15753
"261","1232",3.44,3212,"2016-01-05",20929
"262","1233",6.46,2392,"2016-01-05",19096
"263","1234",6.02,3043,"2016-01-05",12349
"264","1235",5.75,3493,"2016-01-05",4229
"265","1236",7.31,2214,"2016-01-05",7600
"266","1237",4.32,1763,"2016-01-05",10411
"267","1238",5.11,2720,"2016-01-05",8619
"268","1239",4.52,3295,"2016-01-05",12105
"269","124",5.91,2841,"2016-01-05",18698
"270","1240",4.85,2642,"2016-01-05",17817
"271","1241",8.52,2362,"2016-01-05",2506
"272","1242",10.05,2950,"2016-01-05",18158
"273","1243",3.75,2915,"2016-01-05",4313
"274","1244",3.84,3426,"2016-01-05",6361
"275","1245",8.13,1919,"2016-01-05",20837
"276","1246",9.58,3051,"2016-01-05",6255
"277","1247",5.89,2883,"2016-01-05",13024
"278","1248",7.76,3320,"2016-01-05",7115
"279","1249",1.78,2137,"2016-01-05",9583
"280","125",5.74,1755,"2016-01-05",760
"281","1250",7.29,3503,"2016-01-05",4958
"282","1251",6.25,2174,"2016-01-05",17789
"283","1252",4.44,3518,"2016-01-05",3069
"284","1253",1.37,2889,"2016-01-05",4602
"285","1254",11.98,3393,"2016-01-05",19113
"286","1255",11.66,2358,"2016-01-05",23761
"287","1256",6.35,3085,"2016-01-05",8733
"288","1257",1.64,2727,"2016-01-05",14991
"289","1258",7.92,3186,"2016-01-05",14892
"290","1259",0.88,3238,"2016-01-05",10130
"291","126",6.68,2561,"2016-01-05",19118
"292","1260",8.81,3621,"2016-01-05",18659
"293","1261",7.61,1947,"2016-01-05",19262
"294","1262",7.39,2838,"2016-01-05",9806
"295","1263",7.23,3726,"2016-01-05",19076
"296","1264",9.8,2668,"2016-01-05",13449
"297","1265",4.05,3180,"2016-01-05",4138
"298","1266",2.02,3001,"2016-01-05",7749
"299","1267",8.12,3683,"2016-01-05",11077
"300","1268",7.68,3689,"2016-01-05",19680
"301","1269",2.3,2665,"2016-01-05",5863
"302","127",7.64,2640,"2016-01-05",8733
"303","1270",1.72,3098,"2016-01-05",917
"304","1271",11.48,2703,"2016-01-05",7104
"305","1272",5.75,2817,"2016-01-05",14413
"306","1273",1.22,3289,"2016-01-05",8146
"307","1274",3.53,1914,"2016-01-05",81
"308","1275",5.37,3268,"2016-01-05",18067
"309","1276",0.87,3599,"2016-01-05",10460
"310","1277",7.21,3390,"2016-01-05",8521
"311","1278",5.48,2693,"2016-01-05",6452
"312","1279",6.79,2476,"2016-01-05",9796
"313","128",8.59,3756,"2016-01-05",11335
"314","1280",6.78,3055,"2016-01-05",21784
"315","1281",5.46,2634,"2016-01-05",12655
"316","1282",5.28,2701,"2016-01-05",17686
"317","1283",3.49,3370,"2016-01-05",16348
"318","1284",5.03,2244,"2016-01-05",9454
"319","1285",5.39,2942,"2016-01-05",2408
"320","1286",11.96,2070,"2016-01-05",694
"321","1287",12.13,2508,"2016-01-05",5243
"322","1288",7.21,3573,"2016-01-05",18016
"323","1289",7.53,3755,"2016-01-05",669
"324","129",11.45,2218,"2016-01-05",18735
"325","1290",2.04,3707,"2016-01-05",7296
"326","1291",1.7,3931,"2016-01-05",15947
"327","1292",2.48,2011,"2016-01-05",2021
"328","1293",9.65,2016,"2016-01-05",20067
"329","1294",11.88,3033,"2016-01-05",423
"330","1295",5.55,2330,"2016-01-05",18238
"331","1296",6.66,2736,"2016-01-05",2230
"332","1297",2.8,2776,"2016-01-05",4163
"333","1298",2.5,3693,"2016-01-05",7581
"334","1299",8.52,3131,"2016-01-05",9166
"335","13",8.89,2842,"2016-01-05",20512
"336","130",2.11,3232,"2016-01-05",10539
"337","1300",6.05,3485,"2016-01-05",22245
"338","1301",1.07,3496,"2016-01-05",6498
"339","1302",5.93,1759,"2016-01-05",15499
"340","1303",10.08,2459,"2016-01-05",8722
"341","1304",4.59,2958,"2016-01-05",14954
"342","1305",4.5,3334,"2016-01-05",4061
"343","1306",3.81,2638,"2016-01-05",18769
"344","1307",4.18,2105,"2016-01-05",13656
"345","1308",7.81,2770,"2016-01-05",5448
"346","1309",3.54,3745,"2016-01-05",22255
"347","131",7.24,2601,"2016-01-05",10794
"348","1310",4.65,1816,"2016-01-05",4300
"349","1311",6.04,2663,"2016-01-05",18456
"350","1312",7.05,3127,"2016-01-05",19360
"351","1313",4.83,2912,"2016-01-05",18801
"352","1314",4.69,2091,"2016-01-05",9507
"353","1315",11.16,1896,"2016-01-05",7875
"354","1316",8.68,2763,"2016-01-05",16057
"355","1317",7.32,2292,"2016-01-05",13396
"356","1318",1.94,3753,"2016-01-05",19630
"357","1319",1.86,3127,"2016-01-05",9734
"358","132",4.61,3512,"2016-01-05",11731
"359","1320",0.3,3442,"2016-01-05",8723
"360","1321",6.39,3687,"2016-01-05",14311
"361","1322",5.72,2552,"2016-01-05",5972
"362","1323",9.05,2565,"2016-01-05",13882
"363","1324",8.75,3158,"2016-01-05",12416
"364","1325",3.38,3658,"2016-01-05",16356
"365","1326",3.92,3195,"2016-01-05",11707
"366","1327",7.83,3440,"2016-01-05",16784
"367","1328",5.79,2119,"2016-01-05",20229
"368","1329",1.96,3334,"2016-01-05",18042
"369","133",5.25,2794,"2016-01-05",6828
"370","1330",7.6,2891,"2016-01-05",20672
"371","1331",9.16,1965,"2016-01-05",21594
"372","1332",10.39,2777,"2016-01-05",5836
"373","1333",3.51,3575,"2016-01-05",18406
"374","1334",3.1,3506,"2016-01-05",296
"375","1335",4.98,3932,"2016-01-05",8286
"376","1336",4.57,2709,"2016-01-05",21063
"377","1337",6.14,3290,"2016-01-05",13086
"378","1338",8.92,3637,"2016-01-05",15853
"379","1339",4.59,3687,"2016-01-05",2991
"380","134",8.49,2805,"2016-01-05",22342
"381","1340",11.04,3534,"2016-01-05",3057
"382","1341",5.4,3051,"2016-01-05",8692
"383","1342",2.57,3797,"2016-01-05",2422
"384","1343",5.76,3057,"2016-01-05",22920
"385","1344",6.54,3287,"2016-01-05",9470
"386","1345",11.98,3417,"2016-01-05",4305
"387","1346",3.85,4029,"2016-01-05",12834
"388","1347",6.21,2749,"2016-01-05",20577
"389","1348",0.19,1891,"2016-01-05",20317
"390","1349",2.4,2711,"2016-01-05",9731
"391","135",4.17,2835,"2016-01-05",2189
"392","1350",3.79,2539,"2016-01-05",17204
"393","1351",3.8,2824,"2016-01-05",23866
"394","1352",0.95,2783,"2016-01-05",22108
"395","1353",9.17,2810,"2016-01-05",2570
"396","1354",3.79,3819,"2016-01-05",12324
"397","1355",4.72,3835,"2016-01-05",15358
"398","1356",9.01,3777,"2016-01-05",22247
"399","1357",5.23,3441,"2016-01-05",17231
"400","1358",11.05,3436,"2016-01-05",15788
"401","1359",5.09,2687,"2016-01-05",999
"402","136",5.28,3174,"2016-01-05",16721
"403","1360",2.18,2802,"2016-01-05",16068
"404","1361",10.56,2876,"2016-01-05",1333
"405","1362",8.08,2832,"2016-01-05",10436
"406","1363",0.63,2890,"2016-01-05",5549
"407","1364",13.09,2594,"2016-01-05",110
"408","1365",9.85,3411,"2016-01-05",8243
"409","1366",5.39,2858,"2016-01-05",2101
"410","1367",1.52,3365,"2016-01-05",16264
"411","1368",10.56,2778,"2016-01-05",11421
"412","1369",5.39,3061,"2016-01-05",10286
"413","137",8.96,2259,"2016-01-05",6371
"414","1370",1.15,2281,"2016-01-05",8576
"415","1371",4.63,2171,"2016-01-05",23096
"416","1372",8.3,3486,"2016-01-05",22629
"417","1373",4.59,2963,"2016-01-05",23090
"418","1374",2.79,2823,"2016-01-05",7304
"419","1375",8.28,3313,"2016-01-05",4667
"420","1376",1.02,2821,"2016-01-05",16950
"421","1377",1.65,2975,"2016-01-05",16095
"422","1378",3.76,2183,"2016-01-05",17229
"423","1379",9.03,2930,"2016-01-05",13868
"424","138",2.71,2351,"2016-01-05",18928
"425","1380",6.42,3025,"2016-01-05",3262
"426","1381",0.24,1827,"2016-01-05",11998
"427","1382",11.02,3677,"2016-01-05",10377
"428","1383",2.95,2626,"2016-01-05",12896
"429","1384",7.95,2788,"2016-01-05",7276
"430","1385",4.3,4045,"2016-01-05",14665
"431","1386",4.92,2505,"2016-01-05",2108
"432","1387",7.34,3223,"2016-01-05",17087
"433","1388",0.91,2302,"2016-01-05",7690
"434","1389",1.98,2779,"2016-01-05",13463
"435","139",9.23,2043,"2016-01-05",3847
"436","1390",0.71,3103,"2016-01-05",15329
"437","1391",7.45,3552,"2016-01-05",21338
"438","1392",5.83,2471,"2016-01-05",16899
"439","1393",6.29,3513,"2016-01-05",1151
"440","1394",3.07,2866,"2016-01-05",23874
"441","1395",0.82,2402,"2016-01-05",16715
"442","1396",3.56,2275,"2016-01-05",21145
"443","1397",6.61,3326,"2016-01-05",6809
"444","1398",7.31,3433,"2016-01-05",3001
"445","1399",7.99,3456,"2016-01-05",3564
"446","14",3.94,2358,"2016-01-05",9386
"447","140",7.97,3891,"2016-01-05",20460
"448","1400",6.35,2714,"2016-01-05",9008
"449","1401",4.6,2400,"2016-01-05",22584
"450","1402",8.54,3345,"2016-01-05",21199
"451","1403",8.32,2672,"2016-01-05",1555
"452","1404",4.56,3125,"2016-01-05",836
"453","1405",5.2,2437,"2016-01-05",2080
"454","1406",2.75,3045,"2016-01-05",21719
"455","1407",6.41,2755,"2016-01-05",16628
"456","1408",5.35,3636,"2016-01-05",20355
"457","1409",4.2,3135,"2016-01-05",10052
"458","141",9.72,2763,"2016-01-05",7741
"459","1410",9.4,3174,"2016-01-05",2227
"460","1411",5.76,3489,"2016-01-05",14194
"461","1412",9.4,3164,"2016-01-05",16282
"462","1413",13.28,2657,"2016-01-05",3294
"463","1414",8.25,3142,"2016-01-05",8087
"464","1415",6.13,3171,"2016-01-05",1751
"465","1416",8.42,2443,"2016-01-05",15555
"466","1417",7.51,3313,"2016-01-05",12301
"467","1418",7.37,2503,"2016-01-05",4980
"468","1419",4.74,3495,"2016-01-05",11924
"469","142",3.05,3040,"2016-01-05",22297
"470","1420",3.9,2470,"2016-01-05",8225
"471","1421",6.42,2048,"2016-01-05",9887
"472","1422",7.7,2195,"2016-01-05",14399
"473","1423",3.14,2653,"2016-01-05",9194
"474","1424",5.75,2445,"2016-01-05",8622
"475","1425",9.91,3103,"2016-01-05",10941
"476","1426",3.53,2441,"2016-01-05",4664
"477","1427",3.41,2785,"2016-01-05",22623
"478","1428",4.36,3728,"2016-01-05",20087
"479","1429",3.84,3251,"2016-01-05",23134
"480","143",4.34,2919,"2016-01-05",21740
"481","1430",9.35,3092,"2016-01-05",15121
"482","1431",5.06,3232,"2016-01-05",14475
"483","1432",4.76,2574,"2016-01-05",8434
"484","1433",0.91,2000,"2016-01-05",5020
"485","1434",8.31,3183,"2016-01-05",19569
"486","1435",7.78,2988,"2016-01-05",14847
"487","1436",5.88,2672,"2016-01-05",15074
"488","1437",7.17,3908,"2016-01-05",6500
"489","1438",6.78,3146,"2016-01-05",21871
"490","1439",8.31,2106,"2016-01-05",12573
"491","144",8.9,2785,"2016-01-05",11114
"492","1440",0.45,2764,"2016-01-05",16862
"493","1441",7.08,3294,"2016-01-05",4351
"494","1442",5.4,3380,"2016-01-05",9476
"495","1443",1.7,2899,"2016-01-05",4895
"496","1444",4.26,2083,"2016-01-05",14097
"497","1445",2.48,2710,"2016-01-05",9105
"498","1446",5.96,3644,"2016-01-05",19608
"499","1447",8,3290,"2016-01-05",17328
"500","1448",7.89,2662,"2016-01-05",22677
"501","1449",6.19,2467,"2016-01-05",1907
"502","145",6.42,3082,"2016-01-05",20103
"503","1450",10.01,2364,"2016-01-05",18298
"504","1451",7.99,2867,"2016-01-05",459
"505","1452",11.32,2128,"2016-01-05",14833
"506","1453",1.55,2569,"2016-01-05",11746
"507","1454",5.03,1652,"2016-01-05",14770
"508","1455",2.58,2702,"2016-01-05",7693
"509","1456",8,2578,"2016-01-05",9800
"510","1457",1.03,3376,"2016-01-05",12692
"511","1458",5.7,2930,"2016-01-05",21709
"512","1459",5.22,3320,"2016-01-05",14671
"513","146",8,3525,"2016-01-05",21021
"514","1460",9.73,2036,"2016-01-05",4914
"515","1461",4.91,3375,"2016-01-05",21074
"516","1462",6.44,2238,"2016-01-05",358
"517","1463",6.88,3757,"2016-01-05",23156
"518","1464",9.17,1995,"2016-01-05",13109
"519","1465",5.78,3174,"2016-01-05",5556
"520","1466",4.17,3288,"2016-01-05",1919
"521","1467",7.67,3021,"2016-01-05",2017
"522","1468",7.33,3788,"2016-01-05",5825
"523","1469",4.91,3139,"2016-01-05",19208
"524","147",6.59,3284,"2016-01-05",16957
"525","1470",6.51,2845,"2016-01-05",8815
"526","1471",10.19,2730,"2016-01-05",7622
"527","1472",3.29,2631,"2016-01-05",9342
"528","1473",4.03,2727,"2016-01-05",16602
"529","1474",3.26,3387,"2016-01-05",12225
"530","1475",4.62,2585,"2016-01-05",10072
"531","1476",5.58,2562,"2016-01-05",7499
"532","1477",3.88,2941,"2016-01-05",23053
"533","1478",6.99,2457,"2016-01-05",13120
"534","1479",7.38,2675,"2016-01-05",2242
"535","148",1.31,3294,"2016-01-05",1365
"536","1480",9.62,2885,"2016-01-05",20881
"537","1481",3.3,2904,"2016-01-05",3094
"538","1482",4.69,3565,"2016-01-05",12850
"539","1483",10.82,3024,"2016-01-05",8569
"540","1484",1.03,2762,"2016-01-05",2022
"541","1485",10.35,2518,"2016-01-05",9933
"542","1486",5.11,3079,"2016-01-05",7
"543","1487",6.07,3703,"2016-01-05",1901
"544","1488",4.98,3023,"2016-01-05",20280
"545","1489",6.67,2412,"2016-01-05",1102
"546","149",4.2,1864,"2016-01-05",519
"547","1490",11.4,1926,"2016-01-05",4516
"548","1491",6.65,2237,"2016-01-05",19189
"549","1492",7.27,2970,"2016-01-05",15237
"550","1493",9.75,2885,"2016-01-05",15721
"551","1494",5.24,2480,"2016-01-05",21298
"552","1495",4.33,2798,"2016-01-05",5415
"553","1496",5.41,3153,"2016-01-05",16850
"554","1497",4.38,3780,"2016-01-05",8365
"555","1498",6.83,3313,"2016-01-05",11539
"556","1499",5.46,3030,"2016-01-05",3277
"557","15",8.52,3051,"2016-01-05",9231
"558","150",8.34,3163,"2016-01-05",19100
"559","1500",9.53,2933,"2016-01-05",11923
"560","1501",5.72,1743,"2016-01-05",18409
"561","1502",8.32,2380,"2016-01-05",6333
"562","1503",5.8,1759,"2016-01-05",245
"563","1504",7.91,2529,"2016-01-05",11226
"564","1505",3.08,2395,"2016-01-05",21063
"565","1506",9.26,2776,"2016-01-05",7500
"566","1507",3.31,3485,"2016-01-05",23552
"567","1508",1.64,2410,"2016-01-05",5357
"568","1509",4.1,2081,"2016-01-05",9742
"569","151",3.21,3075,"2016-01-05",2137
"570","1510",8.28,2615,"2016-01-05",18139
"571","1511",1.18,2480,"2016-01-05",18902
"572","1512",8.74,2869,"2016-01-05",4982
"573","1513",7.57,3948,"2016-01-05",669
"574","1514",10.55,2597,"2016-01-05",9524
"575","1515",3.18,2769,"2016-01-05",22028
"576","1516",4.49,2492,"2016-01-05",8308
"577","1517",1.68,2564,"2016-01-05",7519
"578","1518",1.36,2886,"2016-01-05",18889
"579","1519",6.88,3853,"2016-01-05",2468
"580","152",7.21,2555,"2016-01-05",5200
"581","1520",8.48,3140,"2016-01-05",16532
"582","1521",6.52,3318,"2016-01-05",21679
"583","1522",11.2,2883,"2016-01-05",10133
"584","1523",1.56,3136,"2016-01-05",21420
"585","1524",4.09,2855,"2016-01-05",22913
